"","pid","trial","datetime","type","item","exposure_time","use","react_(clear)","react_angry","react_disgust","react_heart","react_laugh","react_like","react_sad","react_surprise","react","share","comment","comment_made"
"77","14139665",13,"25/09/2025 12:21:03","filler","pizza",16397.3000000954,TRUE,0,0,0,1,0,0,0,0,1,0,NA,0
"78","14139665",14,"25/09/2025 12:21:13","filler","avocado",9958.80000004766,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"79","14139665",15,"25/09/2025 12:21:46","filler","yacht",33749.2999999523,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"80","14139665",16,"25/09/2025 12:21:56","filler","natgeo",9542.50000009534,TRUE,0,0,0,1,0,0,0,0,1,0,NA,0
"81","14139666",1,"25/09/2025 12:14:46","filler","avocado",15236.0999999989,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"82","14139666",2,"25/09/2025 12:15:02","filler","lyrics",16046.3999999996,TRUE,0,0,0,0,0,1,0,0,1,0,"real.",1
"83","14139666",3,"25/09/2025 12:15:20","filler","washpo",18772,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"84","14139666",4,"25/09/2025 12:15:40","filler","fish",19899.7,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"85","14139666",5,"25/09/2025 12:15:50","filler","yacht",9238.99999999962,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"86","14139666",6,"25/09/2025 12:16:02","filler","train",11990.4,TRUE,0,0,0,0,1,0,0,0,1,0,NA,0
"87","14139666",7,"25/09/2025 12:16:14","filler","natgeo",12685.0999999992,TRUE,0,0,0,1,0,0,0,0,1,0,NA,0
"88","14139666",8,"25/09/2025 12:16:35","trees","trees",20680.3,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"89","14139666",9,"25/09/2025 12:16:47","filler","nasa",12274.2,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"90","14139666",10,"25/09/2025 12:17:08","filler","swaps",20841.7000000004,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"91","14139666",11,"25/09/2025 12:17:13","filler","beckham",4709.09999999963,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"92","14139666",12,"25/09/2025 12:17:19","filler","jewellery",6506.10000000038,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"93","14139666",13,"25/09/2025 12:17:54","filler","starwars",35040.7000000004,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"94","14139666",14,"25/09/2025 12:17:56","filler","watch",1805.80000000037,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"95","14139666",15,"25/09/2025 12:18:06","filler","pizza",9861.09999999925,TRUE,0,0,0,1,0,0,0,0,1,0,NA,0
"96","14139666",16,"25/09/2025 12:18:08","filler","puppy",2192.99999999889,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"97","14139667",1,"25/09/2025 12:22:20","filler","puppy",4439.89999990464,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
