Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,randomiser-wisg
20,1758455239578,21/09/2025 11:47,1758458839578,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I like to try new foods and new restaurants ,response,value,3,,,filler_pizza,6,object-13,sep_blocks
21,1758455239579,21/09/2025 11:47,1758458839579,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I like hearing about breakthroughs in science and technology,response,value,1,,,filler_pizza,7,object-14,sep_blocks
22,1758455239580,21/09/2025 11:47,1758458839580,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329722,BLINDED,14114575,,complete,,68cfe3f8e4763fd538d17027,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 139.0.0.0,1536x864,1536x695,,,0,Behavioural intentions,4,,,,,info,,END,43056,,,,,sep_blocks
1,1758455138402,21/09/2025 11:45,1758458738402,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,,,,,info,,BEGIN,,,,,,integrated_blocks
2,1758455138443,21/09/2025 11:45,1758458738443,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,trees_find_out,2,object-3,integrated_blocks
3,1758455138444,21/09/2025 11:45,1758458738444,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,trees_water,3,object-5,integrated_blocks
4,1758455138445,21/09/2025 11:45,1758458738445,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_travel,4,object-4,integrated_blocks
5,1758455138447,21/09/2025 11:45,1758458738447,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_watch,5,object-6,integrated_blocks
6,1758455138448,21/09/2025 11:45,1758458738448,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_pizza,6,object-13,integrated_blocks
7,1758455138449,21/09/2025 11:45,1758458738449,1,21/09/2025 13:45,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_pizza,7,object-14,integrated_blocks
16,1758455167267,21/09/2025 11:46,1758458767267,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I plan to find out more about caring for newly planted trees in my local area,response,value,1,,,trees_find_out,2,object-3,integrated_blocks
17,1758455167267,21/09/2025 11:46,1758458767267,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,Page 1,uvedb8,1,"I will water newly planted trees in my local area, especially during hot and dry weather",response,value,3,,,trees_water,3,object-5,integrated_blocks
18,1758455167267,21/09/2025 11:46,1758458767267,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,Page 1,uvedb8,1,"When I plan a holiday, scenery and geography are important to my choices",response,value,1,,,filler_travel,4,object-4,integrated_blocks
19,1758455167267,21/09/2025 11:46,1758458767267,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I plan to buy a smart watch in the next three months,response,value,1,,,filler_watch,5,object-6,integrated_blocks
20,1758455167268,21/09/2025 11:46,1758458767268,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I like to try new foods and new restaurants ,response,value,7,,,filler_pizza,6,object-13,integrated_blocks
