Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
20,1758799321140,25/09/2025 11:22:01,1758799321140,1,25/09/2025 12:22:01,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I like to try new foods and new restaurants ,response,value,3,,,filler_pizza,6,object-13
21,1758799321140,25/09/2025 11:22:01,1758799321140,1,25/09/2025 12:22:01,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I like hearing about breakthroughs in science and technology,response,value,4,,,filler_sci,7,object-14
22,1758799321140,25/09/2025 11:22:01,1758799321140,1,25/09/2025 12:22:01,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,,,,,info,,END,30346,,,,
1,1758799834597,25/09/2025 11:30:34,1758799834597,1,25/09/2025 12:30:34,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,,,,,info,,BEGIN,,,,,
2,1758799834633,25/09/2025 11:30:34,1758799834633,1,25/09/2025 12:30:34,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,trees_find_out,2,object-3
3,1758799834634,25/09/2025 11:30:34,1758799834634,1,25/09/2025 12:30:34,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,trees_water,3,object-5
4,1758799834635,25/09/2025 11:30:34,1758799834635,1,25/09/2025 12:30:34,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_travel,4,object-4
5,1758799834636,25/09/2025 11:30:34,1758799834636,1,25/09/2025 12:30:34,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_watch,5,object-6
6,1758799834637,25/09/2025 11:30:34,1758799834637,1,25/09/2025 12:30:34,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_pizza,6,object-13
7,1758799834638,25/09/2025 11:30:34,1758799834638,1,25/09/2025 12:30:34,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_sci,7,object-14
16,1758799870182,25/09/2025 11:31:10,1758799870182,1,25/09/2025 12:31:10,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I plan to find out more about caring for newly planted trees in my local area,response,value,6,,,trees_find_out,2,object-3
17,1758799870182,25/09/2025 11:31:10,1758799870182,1,25/09/2025 12:31:10,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,Page 1,uvedb8,1,"I will water newly planted trees in my local area, especially during hot and dry weather",response,value,6,,,trees_water,3,object-5
18,1758799870182,25/09/2025 11:31:10,1758799870182,1,25/09/2025 12:31:10,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,Page 1,uvedb8,1,"When I plan a holiday, scenery and geography are important to my choices",response,value,5,,,filler_travel,4,object-4
19,1758799870183,25/09/2025 11:31:10,1758799870183,1,25/09/2025 12:31:10,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I plan to buy a smart watch in the next three months,response,value,1,,,filler_watch,5,object-6
20,1758799870183,25/09/2025 11:31:10,1758799870183,1,25/09/2025 12:31:10,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I like to try new foods and new restaurants ,response,value,5,,,filler_pizza,6,object-13
21,1758799870183,25/09/2025 11:31:10,1758799870183,1,25/09/2025 12:31:10,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I like hearing about breakthroughs in science and technology,response,value,5,,,filler_sci,7,object-14
